id,section,step,icon,step_type,step_modifier,duration,bonus_duration,per_participant_duration,video_url_base,video_text,guide_text
50,Tavanmuodostuksen strategiat,Ohjeita ryhmäkeskusteluun,video_library,video,,48,,,video/ryhmaohje6,,
51,Tavanmuodostuksen strategiat,Avataan yhteys muihin,local_phone,conference,,,,,,,
52,Tavanmuodostuksen strategiat,Odotetaan kaikkia,hourglass_empty,waitall,,,,,,,
53,Tavanmuodostuksen strategiat,Ryhmäkeskustelu,contact_phone,assignment,together,120,,180,,,"H==== Jakakaa yksi kerrallaan mitkä strategiat tuntuivat itsellesi lupaavimmilta ja miksi?
Jokaiselle on varattu noin kolme minuuttia aikaa."
54,Toteutusaikomukset,Yhteinen aloitus,hourglass_empty,waitall,,,,,,,
55,Toteutusaikomukset,Toteutusaikomukset,video_library,video,,298,,,video/toteutusaikomus,,
56,Toteutusaikomukset,Miten seuraat tapasi muodostumista?,assignment,assignment,,300,120,,,,"H==== Määritä tavallesi toteutusaikomus.
Määritä tarkasti mikä asia muistuttaa sinua toteuttamaan tapaasi ja milloin pyrit sen tekemään. Usein tapojen muodostuksessa hyvä toteutusaikomus voi linkittyä jo olemassaolevaan tapaan/vihjeeseen (tai huonon tavan laukaisevaan vihjeeseen). Esimerkiksi hammaslangan käytön aloittamiseen on tutkimuksissa toiminut parhaiten se, kun ihmiset ovat hampaidenpesurutiinin jälkeen jatkaneet langan käytöllä.
Hyvä toteutusaikomus täyttää tutkijoiden mukaan kolme vaatimusta:
1) Ehto on selkeä. Aikomuksen ”kun”-osa on jokin konkreettinen, näkyvä asia joka on helppo huomata ja toteutuu selkeänä hetkenä. ”Kun näen portaat” on hyvä, ”ennen kello neljää” on huono (milloin ennen kello neljää tarkkaan ottaen?). 
2) Ehto on johdonmukainen. Aikomuksen ”niin”-osa on jotain, minkä haluaa aina tehdä ”kun”-osan täyttyessä. Esimerkiksi ”kun lähden olohuoneesta, teen viisi punnerrusta” on ongelmallinen, koska aina ei välttämättä ole aikaa tehdä punnerruksia.
3) Aikomus palvelee tavoitteitasi. Kannattaa tarkistaa, että toteutusaikomus oikeasti edistää jotain mitä haluaa saada aikaan."
57,Toteutusaikomukset,Edetään yhdessä,hourglass_empty,waitall,,,,,,,
58,Toteutusaikomukset,Ohjeita ryhmäkeskusteluun,video_library,video,,72,,,video/ryhmaohje7,,
59,Toteutusaikomukset,Avataan yhteys muihin,local_phone,conference,,,,,,,
60,Toteutusaikomukset,Odotetaan kaikkia,hourglass_empty,waitall,,,,,,,
61,Toteutusaikomukset,Ryhmäkeskustelu,contact_phone,assignment,together,120,,300,,,"H==== Käykää ryhmässä läpi muodostamanne toteutusaikomukset yksi henkilö kerrallaan
Olivatko toteutusaikomukset alla olevien vaatimusten mukaisia? Yrittäkää vielä yhdessä muokata niitä siihen muotoon että nämä kolme ehtoa toteutuisivat niissä mahdollisimman hyvin.
Hyvä toteutusaikomus täyttää tutkijoiden mukaan kolme vaatimusta:
1) Ehto on selkeä. Aikomuksen ”kun”-osa on jokin konkreettinen, näkyvä asia joka on helppo huomata ja toteutuu selkeänä hetkenä. ”Kun näen portaat” on hyvä, ”ennen kello neljää” on huono (milloin ennen kello neljää tarkkaan ottaen?). 
2) Ehto on johdonmukainen. Aikomuksen ”niin”-osa on jotain, minkä haluaa aina tehdä ”kun”-osan täyttyessä. Esimerkiksi ”kun lähden olohuoneesta, teen viisi punnerrusta” on ongelmallinen, koska aina ei välttämättä ole aikaa tehdä punnerruksia.
3) Aikomus palvelee tavoitteitasi. Kannattaa tarkistaa, että toteutusaikomus oikeasti edistää jotain mitä haluaa saada aikaan."
62,Yhteenveto ja seuraavat askeleet,Yhteinen aloitus,hourglass_empty,waitall,,,,,,,
63,Yhteenveto ja seuraavat askeleet,Yhteenveto ja seuraavat askeleet,video_library,video,,301,,,video/yhteenveto,"Nyt kun teillä on suunnitelma eteenpäin menemiseksi, niin onkin hyvä hetki vetää tää työpaja yhteen. Ensiksi me kartoitettiin vähän odotuksia ja hahmoteltiin millaisia tapoja meillä jo on. Sitten mietittiin vähän millaisia tapoja meillä parhaassa tapauksessa olisi, tutustuttiin avaintapojen käsitteeseen ja valitiin yksi tapa työstettäväksi. Tätä tapaa katseltiin sit seurattavuuden, innostavuuden ja ympäristön tukielementtien näkökulmasta, ja muodostettiin vielä sitä tukeva toiminta-aikomus. Ja samalla kun näitä asioita käytiin yhdessä läpi muiden kanssa, jäi toivottavasti käteen uusia perspektiivejä myös tulevaisuuden tavanmuodostusta varten.

Mä toivon että tää työpaja on ollu sulle hyödyllinen, ja jos jäit miettimään että tällaisista asioista vois olla laajemminkin hyötyä sun elämässä niin suosittelen lämpimästi tutustumaan muuhunkin Kehitystön toimintaan! Meidän verkkosivuilta löytyy jonkun verran tietoa niin ajankohtaisista asioista kuin myös pitkin historiaa Kehitystössä käytetyistä materiaateista, mutta Facebookissa oleva Kehitystön Yhteisö -niminen ryhmä on ehkä se keskeisin väylä seuraa mitä tapahtuu ja saada yhteys muihin ihmisiin!

Niin kuin alussa jo vähän avattiinkin, Kehitystö on vapaaehtoisten pyörittämä, ja vapaasti organisoituva yhteisö niille, jotka haluaa yhdessä muiden kanssa pohtia oman elämänsä keskeisiä asioita tieteelliseen tietoon nojautuen. Se tarkottaa, että myös sä olet työpajoihin osallistumisen lisäksi tervetullut esimerkiksi osallistumaan näiden verkkotyöpajojen kehittämiseen, tai vaikka organisoimaan lukupiirin sua kiinnostavan kirjan ympärille!

Mutta palataan vielä hetkeksi tähän työpajaan, ja viimeistellään se ryhmäkeskustelulla. Tällä kertaa ajatuksena olisi pohtia nopeasti tuntuiko työpaja oikeasti hyödylliseltä, ja uskotko sä että muodostetut suunnitelmat tulee toimimaan? Jos asia epäilyttää, niin voisiko asialle tehdä jotain, esimerkiksi pyytää jotakuta muuta avuksi matkalle? Ja ihan lopuksi on vielä mukava kiinnittää huomio siihen mistä on kiitollinen muulle ryhmälle.

Niin ja jos mieleen tulee palautetta tai parannusehdotuksia tähän verkkotyöpajaan, niin ne on aina tervetulleita! Mutta ei sitten muuta kun vaan siihen viimeiseen ryhmäkeskusteluun, ja suuresti kiitoksia työpajaan osallistumisesta! Toivottavasti tavataan vielä jossain Kehitystön jutuissa! Moikka!",
64,Yhteenveto ja seuraavat askeleet,Avataan yhteys muihin,local_phone,conference,,,,,,,
65,Yhteenveto ja seuraavat askeleet,Odotetaan kaikkia,hourglass_empty,waitall,,,,,,,
66,Yhteenveto ja seuraavat askeleet,Ryhmäkeskustelu,contact_phone,assignment,together,120,,180,,,"H==== Käykää yksi kerrallaan läpi tuntemuksianne työpajasta:
Tuntuiko työpaja hyödylliseltä?
Uskotko noudattavasi tehtyjä suunnitelmia? Jos epäilet asiaa, mikä olisi voinut mennä pieleen? Voisiko siihen varautua tavalla joka ehkäisisi pieleen menemistä?
Haluatko antaa palautetta jostain muille ryhmäläisille tai kiittää heitä jostain erityisestä?
Suuri kiitos verkkotyöpajaan osallistumisesta! Otamme mielellämme vastaan palautetta työpajasta osoitteeseen kehitysto@gmail.com tai avoimesti Kehitystön Yhteisö -ryhmässä Facebookissa!"
